McTavish,Bellevue,Assomption,Trudeau,StHubert,date
0,0,0,0,0,2013-05-01
0,0,0,0,0,2013-05-02
0,0,0,0,0,2013-05-03
0,0,0,0,0,2013-05-04
0,0,0,0,0,2013-05-05
0,0,0,0,0,2013-05-06
0,0,0,0,0,2013-05-07
0,0,0,0,0,2013-05-08
10,0,19,0,7,2013-05-09
0,4,20,0,2,2013-05-10
81,79,150,110,67,2013-05-11
0,0,10,0,1,2013-05-12
10,0,0,0,7,2013-05-13
0,0,0,0,0,2013-05-14
40,0,10,10,28,2013-05-15
0,0,0,0,0,2013-05-16
0,0,0,0,0,2013-05-17
0,0,0,0,0,2013-05-18
12,14,0,14,8,2013-05-19
52,15,70,25,41,2013-05-20
16,39,30,32,14,2013-05-21
26,0,0,0,18,2013-05-22
144,63,130,58,105,2013-05-23
26,29,30,24,20,2013-05-24
36,24,70,32,31,2013-05-25
41,43,60,58,32,2013-05-26
0,0,0,0,0,2013-05-27
11,0,0,0,7,2013-05-28
103,43,30,95,70,2013-05-29
0,0,0,0,0,2013-05-30
0,0,0,0,0,2013-05-31
180,93,20,100,123,2013-06-01
36,77,110,69,34,2013-06-02
0,0,0,0,0,2013-06-03
24,0,0,0,16,2013-06-04
0,0,0,0,0,2013-06-05
28,25,20,21,20,2013-06-06
31,49,41,28,25,2013-06-07
56,39,29,50,40,2013-06-08
0,0,10,0,1,2013-06-09
0,0,10,0,1,2013-06-10
103,83,120,95,81,2013-06-11
30,34,10,37,21,2013-06-12
0,0,20,0,2,2013-06-13
0,0,0,0,0,2013-06-14
0,0,0,0,0,2013-06-15
62,56,70,54,48,2013-06-16
0,0,10,0,1,2013-06-17
0,0,0,0,0,2013-06-18
0,0,0,0,0,2013-06-19
0,0,0,0,0,2013-06-20
0,0,0,0,0,2013-06-21
44,37,30,39,30,2013-06-22
0,0,0,0,0,2013-06-23
44,20,290,29,51,2013-06-24
0,94,10,40,1,2013-06-25
10,38,40,0,7,2013-06-26
0,0,0,0,0,2013-06-27
163,102,142,97,123,2013-06-28
0,0,10,0,1,2013-06-29
0,0,0,0,0,2013-06-30
0,0,0,0,0,2013-07-01
0,0,20,0,2,2013-07-02
0,0,10,0,1,2013-07-03
0,0,0,0,0,2013-07-04
0,10,0,15,0,2013-07-05
0,0,0,0,0,2013-07-06
138,50,0,69,93,2013-07-07
10,6,0,10,7,2013-07-08
0,0,0,0,0,2013-07-09
187,3,60,13,127,2013-07-10
0,0,0,0,0,2013-07-11
10,0,0,0,7,2013-07-12
0,0,0,0,0,2013-07-13
0,0,0,0,0,2013-07-14
0,0,0,0,0,2013-07-15
0,0,0,0,0,2013-07-16
240,82,20,210,162,2013-07-17
10,0,0,20,7,2013-07-18
70,250,108,142,51,2013-07-19
48,66,20,52,32,2013-07-20
0,0,0,0,0,2013-07-21
0,0,0,0,0,2013-07-22
364,16,100,74,247,2013-07-23
0,0,0,0,0,2013-07-24
0,0,0,0,0,2013-07-25
0,0,0,0,0,2013-07-26
0,0,0,0,0,2013-07-27
50,89,70,70,37,2013-07-28
66,46,0,28,45,2013-07-29
18,0,0,0,12,2013-07-30
0,0,0,0,0,2013-07-31
80,107,140,69,67,2013-08-01
0,0,0,0,0,2013-08-02
0,171,156,5,13,2013-08-03
12,0,11,0,9,2013-08-04
0,0,0,0,0,2013-08-05
0,0,0,0,0,2013-08-06
0,24,0,0,0,2013-08-07
0,0,175,0,15,2013-08-08
72,47,0,61,49,2013-08-09
0,0,0,0,0,2013-08-10
0,0,0,0,0,2013-08-11
0,0,0,0,0,2013-08-12
57,118,139,93,39,2013-08-13
36,12,20,26,24,2013-08-14
0,0,0,0,0,2013-08-15
0,0,0,0,0,2013-08-16
0,0,0,0,0,2013-08-17
0,0,10,0,1,2013-08-18
0,0,0,0,0,2013-08-19
0,0,0,0,0,2013-08-20
0,0,0,0,0,2013-08-21
91,109,40,28,63,2013-08-22
0,0,10,0,1,2013-08-23
0,0,10,0,1,2013-08-24
10,0,20,4,8,2013-08-25
60,74,20,37,43,2013-08-26
0,0,0,0,0,2013-08-27
10,0,0,42,7,2013-08-28
0,0,0,0,0,2013-08-29
80,46,78,103,60,2013-08-30
0,0,0,0,0,2013-08-31
0,0,0,0,0,2013-09-01
125,58,133,100,87,2013-09-02
10,0,0,0,7,2013-09-03
0,0,0,0,0,2013-09-04
0,0,10,0,1,2013-09-05
0,0,0,0,0,2013-09-06
0,0,0,0,0,2013-09-07
0,0,0,3,0,2013-09-08
0,0,0,0,0,2013-09-09
12,9,10,8,8,2013-09-10
38,84,50,53,26,2013-09-11
138,165,50,123,94,2013-09-12
0,35,0,25,0,2013-09-13
0,0,0,0,0,2013-09-14
12,6,0,3,8,2013-09-15
72,51,40,85,49,2013-09-16
0,0,0,0,0,2013-09-17
0,0,0,0,0,2013-09-18
0,0,0,0,0,2013-09-19
0,0,0,0,0,2013-09-20
88,40,122,65,71,2013-09-21
54,33,30,57,38,2013-09-22
0,0,0,0,0,2013-09-23
0,0,0,0,0,2013-09-24
0,0,0,0,0,2013-09-25
0,0,0,0,0,2013-09-26
0,0,0,0,0,2013-09-27
0,0,0,0,0,2013-09-28
0,0,0,0,0,2013-09-29
0,0,0,0,0,2013-09-30
0,0,0,0,0,2013-10-01
0,0,0,0,0,2013-10-02
0,0,0,0,0,2013-10-03
0,0,0,0,0,2013-10-04
0,0,0,0,0,2013-10-05
22,39,50,50,20,2013-10-06
148,73,110,93,110,2013-10-07
10,0,0,0,7,2013-10-08
0,0,10,0,1,2013-10-09
2082,0,0,0,1414,2013-10-10
0,0,0,0,0,2013-10-11
0,0,0,0,0,2013-10-12
0,0,0,0,0,2013-10-13
12,18,60,22,13,2013-10-14
0,0,0,0,0,2013-10-15
12,11,0,7,8,2013-10-16
114,78,70,109,83,2013-10-17
34,25,30,34,26,2013-10-18
0,14,0,16,0,2013-10-19
50,26,48,46,38,2013-10-20
0,0,0,0,0,2013-10-21
16,12,30,13,13,2013-10-22
0,0,0,0,0,2013-10-23
0,0,0,0,0,2013-10-24
0,0,0,0,0,2013-10-25
14,11,20,8,11,2013-10-26
10,6,20,3,7,2013-10-27
15,11,10,15,11,2013-10-28
0,0,0,0,0,2013-10-29
0,0,0,0,0,2013-10-30
78,71,60,69,58,2013-10-31
0,3,80,0,7,2014-05-02
14,0,0,3,10,2014-05-03
58,59,20,68,40,2014-05-04
11,0,0,3,7,2014-05-05
0,0,0,0,0,2014-05-06
0,0,0,0,0,2014-05-07
0,0,0,0,0,2014-05-08
22,20,0,6,15,2014-05-09
54,36,70,35,42,2014-05-10
0,0,0,0,0,2014-05-11
0,0,0,0,0,2014-05-12
0,36,0,3,0,2014-05-13
0,0,0,0,0,2014-05-14
0,0,11,0,1,2014-05-15
62,115,40,85,45,2014-05-16
202,93,140,130,149,2014-05-17
0,0,0,0,0,2014-05-18
0,0,0,0,0,2014-05-19
0,0,0,0,0,2014-05-20
0,0,0,0,0,2014-05-21
32,0,0,2,22,2014-05-22
0,0,0,0,0,2014-05-23
0,0,20,0,2,2014-05-24
22,29,0,38,15,2014-05-25
72,13,20,20,49,2014-05-26
44,10,50,39,34,2014-05-27
10,0,12,2,7,2014-05-28
0,0,0,0,0,2014-05-29
6,5,20,15,2,2014-05-30
0,0,0,0,0,2014-05-31
0,0,0,0,0,2014-06-01
0,0,0,0,0,2014-06-02
151,399,180,120,258,2014-06-03
0,0,0,0,0,2014-06-04
1,0,0,0,2,2014-06-05
4,0,14,0,8,2014-06-06
0,0,0,0,0,2014-06-07
0,0,0,0,0,2014-06-08
0,0,0,0,0,2014-06-09
0,4,0,0,0,2014-06-10
8,14,0,9,10,2014-06-11
70,153,90,97,65,2014-06-12
95,75,190,126,103,2014-06-13
27,12,150,11,61,2014-06-14
0,0,10,0,0,2014-06-15
0,0,0,0,0,2014-06-16
112,175,78,150,113,2014-06-17
129,54,162,90,209,2014-06-18
0,0,0,0,0,2014-06-19
0,0,0,0,0,2014-06-20
0,0,0,0,0,2014-06-21
0,0,0,0,0,2014-06-22
0,0,0,0,0,2014-06-23
229,371,280,297,237,2014-06-24
27,0,27,0,61,2014-06-25
0,0,0,0,0,2014-06-26
0,0,0,0,0,2014-06-27
0,0,0,0,0,2014-06-28
0,0,0,0,0,2014-06-29
0,0,0,0,0,2014-06-30
0,0,0,0,0,2014-07-01
0,0,20,0,0,2014-07-02
0,0,0,0,0,2014-07-03
18,5,20,30,15,2014-07-04
13,0,0,0,30,2014-07-05
0,0,0,0,0,2014-07-06
45,36,12,67,45,2014-07-07
30,96,181,51,15,2014-07-08
2,0,0,0,5,2014-07-09
0,0,0,0,0,2014-07-10
0,0,0,0,0,2014-07-11
0,0,0,0,0,2014-07-12
49,62,20,52,63,2014-07-13
0,0,0,0,0,2014-07-14
10,15,20,18,7,2014-07-15
1,0,0,0,2,2014-07-16
0,7,0,0,0,2014-07-17
0,0,0,0,0,2014-07-18
0,0,0,0,0,2014-07-19
0,0,0,0,0,2014-07-20
0,0,0,0,0,2014-07-21
0,0,0,0,0,2014-07-22
48,80,30,50,63,2014-07-23
0,0,0,0,0,2014-07-24
0,0,0,0,0,2014-07-25
4,0,0,0,0,2014-07-26
84,49,43,52,83,2014-07-27
58,45,43,33,61,2014-07-28
2,0,0,0,0,2014-07-29
8,0,20,5,0,2014-07-30
144,150,339,123,115,2014-07-31
0,0,0,0,0,2014-08-01
0,0,0,0,0,2014-08-02
0,0,0,0,0,2014-08-03
4,0,0,0,2,2014-08-04
14,0,270,0,0,2014-08-05
4,0,0,11,5,2014-08-06
4,11,0,43,2,2014-08-07
0,0,10,2,0,2014-08-08
0,0,0,0,0,2014-08-09
0,0,0,0,0,2014-08-10
0,0,0,2,0,2014-08-11
12,5,0,0,0,2014-08-12
262,108,120,125,115,2014-08-13
0,0,0,0,0,2014-08-14
28,6,80,20,2,2014-08-15
142,84,80,86,52,2014-08-16
8,2,20,0,8,2014-08-17
0,0,0,0,0,2014-08-18
0,0,0,2,0,2014-08-19
0,0,0,0,0,2014-08-20
0,12,0,0,0,2014-08-21
0,0,11,0,0,2014-08-22
0,0,20,0,0,2014-08-23
0,0,0,0,0,2014-08-24
0,0,0,0,0,2014-08-25
0,0,0,0,0,2014-08-26
2,3,0,0,2,2014-08-27
0,0,0,0,0,2014-08-28
0,0,0,0,0,2014-08-29
0,0,0,0,0,2014-08-30
94,66,80,69,65,2014-08-31
0,2,0,0,0,2014-09-01
42,51,30,31,4,2014-09-02
2,0,10,0,0,2014-09-03
0,0,0,0,0,2014-09-04
20,66,40,20,15,2014-09-05
52,39,40,17,42,2014-09-06
0,2,0,0,0,2014-09-07
0,0,0,0,0,2014-09-08
0,0,0,0,0,2014-09-09
0,0,0,0,0,2014-09-10
36,30,30,28,22,2014-09-11
0,0,0,0,0,2014-09-12
100,92,100,102,73,2014-09-13
0,0,0,0,0,2014-09-14
0,0,0,0,0,2014-09-15
6,4,0,0,7,2014-09-16
4,5,20,0,0,2014-09-17
10,36,0,15,4,2014-09-18
0,0,0,0,0,2014-09-19
0,0,10,0,0,2014-09-20
12,33,20,19,5,2014-09-21
0,0,0,0,0,2014-09-22
8,5,0,9,2,2014-09-23
0,0,20,0,0,2014-09-24
0,0,0,0,0,2014-09-25
0,0,0,0,0,2014-09-26
0,0,0,0,0,2014-09-27
0,0,0,0,0,2014-09-28
0,0,0,0,0,2014-09-29
0,0,0,0,0,2014-09-30
0,0,0,0,0,2014-10-01
0,0,0,0,0,2014-10-02
0,0,0,0,0,2014-10-03
98,76,60,75,75,2014-10-04
2,0,0,0,2,2014-10-05
0,0,0,0,0,2014-10-06
26,79,40,19,25,2014-10-07
172,85,170,77,130,2014-10-08
6,0,10,3,10,2014-10-09
0,0,0,2,0,2014-10-10
0,0,0,0,0,2014-10-11
0,0,0,0,0,2014-10-12
0,0,0,0,0,2014-10-13
0,0,10,0,0,2014-10-14
22,19,30,35,15,2014-10-15
22,58,50,18,18,2014-10-16
2,0,0,0,0,2014-10-17
12,8,20,12,25,2014-10-18
0,0,0,0,0,2014-10-19
4,0,0,4,2,2014-10-20
10,9,0,9,7,2014-10-21
0,0,0,0,0,2014-10-22
52,44,20,41,39,2014-10-23
4,4,0,5,2,2014-10-24
46,21,50,25,38,2014-10-25
2,0,0,4,0,2014-10-26
0,0,0,0,0,2014-10-27
14,10,30,13,10,2014-10-28
12,9,10,11,10,2014-10-29
0,0,0,0,0,2014-10-30
0,0,0,0,0,2014-10-31
0,0,0,0,0,2015-05-01
0,0,0,2,0,2015-05-02
0,0,0,2,0,2015-05-03
10,7,0,5,5,2015-05-04
2,0,0,2,0,2015-05-05
0,0,10,0,0,2015-05-06
0,0,0,0,0,2015-05-07
0,0,0,0,0,2015-05-08
26,22,80,72,40,2015-05-09
2,0,0,0,0,2015-05-10
114,100,60,112,106,2015-05-11
32,23,30,54,10,2015-05-12
2,0,0,0,0,2015-05-13
0,0,0,2,0,2015-05-14
0,0,0,0,0,2015-05-15
0,0,0,0,2,2015-05-16
0,0,0,2,0,2015-05-17
176,0,170,70,126,2015-05-18
0,0,30,0,25,2015-05-19
0,0,0,0,0,2015-05-20
0,0,0,0,0,2015-05-21
2,0,10,2,4,2015-05-22
0,0,10,0,0,2015-05-23
0,0,0,2,0,2015-05-24
102,114,70,91,88,2015-05-25
52,64,10,47,48,2015-05-26
0,9,0,0,5,2015-05-27
44,75,0,30,23,2015-05-28
0,2,0,2,2,2015-05-29
28,20,210,17,10,2015-05-30
14,31,10,25,10,2015-05-31
16,16,0,12,15,2015-06-01
14,20,12,6,5,2015-06-02
0,2,0,0,0,2015-06-03
0,0,0,0,0,2015-06-04
62,75,30,28,87,2015-06-05
2,0,0,0,0,2015-06-06
0,0,0,0,0,2015-06-07
114,106,130,93,92,2015-06-08
82,24,10,52,181,2015-06-09
22,24,320,21,12,2015-06-10
2,0,0,0,0,2015-06-11
46,63,30,44,37,2015-06-12
2,2,0,0,2,2015-06-13
0,0,0,0,0,2015-06-14
2,0,0,0,5,2015-06-15
292,157,140,227,209,2015-06-16
2,0,0,0,0,2015-06-17
40,57,20,36,20,2015-06-18
0,0,0,0,0,2015-06-19
0,0,0,0,0,2015-06-20
14,165,0,194,10,2015-06-21
6,0,0,66,0,2015-06-22
40,19,51,7,4,2015-06-23
6,0,0,29,2,2015-06-24
2,2,0,2,0,2015-06-25
0,0,40,0,0,2015-06-26
0,0,0,0,0,2015-06-27
50,38,80,43,42,2015-06-28
6,3,0,0,8,2015-06-29
20,21,30,25,12,2015-06-30
160,46,170,46,168,2015-07-01
0,0,0,0,0,2015-07-02
0,0,0,0,0,2015-07-03
0,0,0,0,0,2015-07-04
0,0,0,0,0,2015-07-05
0,0,0,0,0,2015-07-06
48,74,20,2,18,2015-07-07
28,10,20,13,80,2015-07-08
0,0,0,0,0,2015-07-09
