McTavish,Bellevue,Assomption,Trudeau,StHubert,date
0,0,0,0,0,2013-05-01
0,0,0,0,0,2013-05-02
0,0,0,0,0,2013-05-03
0,0,0,0,0,2013-05-04
0,0,0,0,0,2013-05-05
0,0,0,0,0,2013-05-06
0,0,0,0,0,2013-05-07
0,0,0,0,0,2013-05-08
10,0,19,0,7,2013-05-09
0,4,20,0,2,2013-05-10
106,105,170,138,99,2013-05-11
0,0,10,0,1,2013-05-12
10,0,0,0,7,2013-05-13
0,0,0,0,0,2013-05-14
40,0,10,10,28,2013-05-15
0,0,0,0,0,2013-05-16
0,0,0,0,0,2013-05-17
0,0,0,0,0,2013-05-18
12,21,0,32,11,2013-05-19
64,19,90,38,53,2013-05-20
24,39,30,32,22,2013-05-21
26,0,0,0,17,2013-05-22
144,63,160,58,108,2013-05-23
42,56,50,56,39,2013-05-24
94,53,98,79,78,2013-05-25
99,129,141,159,95,2013-05-26
0,0,0,0,0,2013-05-27
11,0,0,0,7,2013-05-28
146,58,50,189,121,2013-05-29
0,0,0,0,0,2013-05-30
0,0,0,0,0,2013-05-31
222,93,30,117,161,2013-06-01
68,152,130,121,69,2013-06-02
0,0,0,0,0,2013-06-03
24,0,0,0,16,2013-06-04
0,0,0,0,0,2013-06-05
50,65,30,45,42,2013-06-06
63,109,110,67,58,2013-06-07
70,50,40,61,56,2013-06-08
0,0,10,0,1,2013-06-09
0,0,10,0,1,2013-06-10
203,175,220,153,168,2013-06-11
30,39,10,37,25,2013-06-12
0,0,20,0,2,2013-06-13
0,0,0,0,0,2013-06-14
0,0,0,0,0,2013-06-15
124,95,100,103,102,2013-06-16
0,0,10,0,1,2013-06-17
0,0,0,0,0,2013-06-18
0,0,0,0,0,2013-06-19
0,0,0,0,0,2013-06-20
0,0,0,0,0,2013-06-21
88,102,40,104,73,2013-06-22
0,0,0,0,0,2013-06-23
79,29,310,34,82,2013-06-24
0,102,10,40,4,2013-06-25
10,38,40,0,10,2013-06-26
0,0,0,0,0,2013-06-27
196,145,192,141,161,2013-06-28
0,0,10,0,1,2013-06-29
0,0,0,0,0,2013-06-30
0,0,0,0,0,2013-07-01
0,0,20,0,2,2013-07-02
0,0,10,0,1,2013-07-03
0,0,0,0,0,2013-07-04
0,10,0,15,2,2013-07-05
0,0,0,0,0,2013-07-06
138,55,0,69,98,2013-07-07
10,9,0,15,8,2013-07-08
0,0,0,0,0,2013-07-09
187,3,80,21,132,2013-07-10
0,0,0,0,0,2013-07-11
10,0,0,0,7,2013-07-12
0,0,0,0,0,2013-07-13
0,0,0,0,0,2013-07-14
0,0,0,0,0,2013-07-15
0,0,0,0,0,2013-07-16
240,86,20,220,184,2013-07-17
10,0,0,23,9,2013-07-18
128,271,140,175,109,2013-07-19
60,66,20,52,48,2013-07-20
0,0,0,0,0,2013-07-21
0,0,0,0,0,2013-07-22
364,16,100,99,249,2013-07-23
0,0,0,0,0,2013-07-24
0,0,0,0,0,2013-07-25
0,0,0,0,0,2013-07-26
0,0,0,0,0,2013-07-27
94,206,120,110,83,2013-07-28
66,46,0,28,46,2013-07-29
18,0,0,0,12,2013-07-30
0,0,0,0,0,2013-07-31
102,118,160,72,89,2013-08-01
0,0,0,0,0,2013-08-02
0,189,260,5,23,2013-08-03
12,0,11,0,9,2013-08-04
0,0,0,0,0,2013-08-05
0,0,0,0,0,2013-08-06
0,24,0,0,0,2013-08-07
0,0,200,0,17,2013-08-08
72,47,0,61,54,2013-08-09
0,0,0,0,0,2013-08-10
0,0,0,0,0,2013-08-11
0,0,0,0,0,2013-08-12
104,118,250,109,83,2013-08-13
48,16,20,31,36,2013-08-14
0,0,0,0,0,2013-08-15
0,0,0,0,0,2013-08-16
0,0,0,0,0,2013-08-17
0,0,10,0,1,2013-08-18
0,0,0,0,0,2013-08-19
0,0,0,0,0,2013-08-20
0,0,0,0,0,2013-08-21
158,123,60,44,110,2013-08-22
0,0,10,0,1,2013-08-23
0,0,10,0,1,2013-08-24
10,0,20,4,9,2013-08-25
70,74,20,37,52,2013-08-26
0,0,0,0,0,2013-08-27
10,0,0,42,12,2013-08-28
0,0,0,0,0,2013-08-29
138,109,120,176,120,2013-08-30
0,0,0,0,0,2013-08-31
0,0,0,0,0,2013-09-01
125,58,153,100,96,2013-09-02
10,0,0,0,7,2013-09-03
0,0,0,0,0,2013-09-04
0,0,10,0,1,2013-09-05
0,0,0,0,0,2013-09-06
0,0,0,0,0,2013-09-07
0,0,0,3,0,2013-09-08
0,0,0,0,0,2013-09-09
12,16,10,15,10,2013-09-10
38,84,50,53,30,2013-09-11
362,371,100,320,281,2013-09-12
0,38,0,30,4,2013-09-13
0,0,0,0,0,2013-09-14
12,6,0,3,8,2013-09-15
86,81,50,108,72,2013-09-16
0,0,0,0,0,2013-09-17
0,0,0,0,0,2013-09-18
0,0,0,0,0,2013-09-19
0,0,0,0,0,2013-09-20
88,55,160,83,82,2013-09-21
85,60,50,73,68,2013-09-22
0,0,0,0,0,2013-09-23
0,0,0,0,0,2013-09-24
0,0,0,0,0,2013-09-25
0,0,0,0,0,2013-09-26
0,0,0,0,0,2013-09-27
0,0,0,0,0,2013-09-28
0,0,0,0,0,2013-09-29
0,0,0,0,0,2013-09-30
0,0,0,0,0,2013-10-01
0,0,0,0,0,2013-10-02
0,0,0,0,0,2013-10-03
0,0,0,0,0,2013-10-04
0,0,0,0,0,2013-10-05
36,42,50,53,33,2013-10-06
206,107,130,128,160,2013-10-07
10,0,0,0,7,2013-10-08
0,0,10,0,1,2013-10-09
2082,0,0,0,1361,2013-10-10
0,0,0,0,0,2013-10-11
0,0,0,0,0,2013-10-12
0,0,0,0,0,2013-10-13
24,18,70,28,25,2013-10-14
0,0,0,0,0,2013-10-15
12,25,0,7,9,2013-10-16
114,78,80,113,93,2013-10-17
58,34,42,45,46,2013-10-18
0,14,0,16,2,2013-10-19
60,26,68,46,51,2013-10-20
0,0,0,0,0,2013-10-21
16,16,40,13,15,2013-10-22
0,0,0,0,0,2013-10-23
0,0,0,0,0,2013-10-24
0,0,0,0,0,2013-10-25
38,22,20,17,29,2013-10-26
10,6,20,3,9,2013-10-27
28,11,10,15,20,2013-10-28
0,0,0,0,0,2013-10-29
0,0,0,0,0,2013-10-30
202,185,160,183,166,2013-10-31
0,5,80,0,7,2014-05-02
14,0,0,5,9,2014-05-03
134,99,60,90,102,2014-05-04
11,0,0,3,7,2014-05-05
0,0,0,0,0,2014-05-06
0,0,0,0,0,2014-05-07
0,0,0,0,0,2014-05-08
22,20,0,6,15,2014-05-09
68,62,110,68,61,2014-05-10
0,0,0,0,0,2014-05-11
0,0,0,0,0,2014-05-12
0,36,0,3,0,2014-05-13
0,0,0,0,0,2014-05-14
0,0,11,0,1,2014-05-15
152,277,92,192,130,2014-05-16
300,152,261,192,241,2014-05-17
0,0,0,0,0,2014-05-18
0,0,0,0,0,2014-05-19
0,0,0,0,0,2014-05-20
0,0,0,0,0,2014-05-21
44,0,0,2,29,2014-05-22
0,0,0,0,0,2014-05-23
0,0,20,0,2,2014-05-24
22,29,0,38,19,2014-05-25
72,16,20,30,52,2014-05-26
76,10,130,39,66,2014-05-27
10,0,12,2,8,2014-05-28
0,0,0,0,0,2014-05-29
7,5,20,15,2,2014-05-30
0,0,0,0,0,2014-05-31
0,0,0,0,0,2014-06-01
0,0,0,0,0,2014-06-02
219,452,190,209,272,2014-06-03
0,0,0,0,0,2014-06-04
1,0,0,0,2,2014-06-05
3,0,14,0,8,2014-06-06
0,0,0,0,0,2014-06-07
0,0,0,0,0,2014-06-08
0,0,0,0,0,2014-06-09
0,4,0,0,0,2014-06-10
14,29,0,15,19,2014-06-11
189,271,180,268,150,2014-06-12
135,140,200,204,125,2014-06-13
34,20,160,24,61,2014-06-14
0,0,10,0,0,2014-06-15
0,0,0,0,0,2014-06-16
115,175,78,150,113,2014-06-17
130,54,162,90,209,2014-06-18
0,0,0,0,0,2014-06-19
0,0,0,0,0,2014-06-20
0,0,0,0,0,2014-06-21
0,0,0,0,0,2014-06-22
0,0,0,0,0,2014-06-23
362,476,782,420,382,2014-06-24
27,0,27,0,61,2014-06-25
0,0,0,0,0,2014-06-26
0,0,0,0,0,2014-06-27
0,0,0,0,0,2014-06-28
0,0,0,0,0,2014-06-29
0,0,0,0,0,2014-06-30
0,0,0,0,0,2014-07-01
0,0,20,0,0,2014-07-02
0,0,0,0,0,2014-07-03
19,7,20,30,15,2014-07-04
13,0,0,0,30,2014-07-05
0,0,0,0,0,2014-07-06
70,42,12,85,81,2014-07-07
41,119,276,62,19,2014-07-08
2,0,0,0,5,2014-07-09
0,0,0,0,0,2014-07-10
0,0,0,0,0,2014-07-11
0,0,0,0,0,2014-07-12
88,76,33,88,116,2014-07-13
0,0,0,0,0,2014-07-14
15,15,20,21,14,2014-07-15
1,0,0,0,2,2014-07-16
0,7,0,0,0,2014-07-17
0,0,0,0,0,2014-07-18
0,0,0,0,0,2014-07-19
0,0,0,0,0,2014-07-20
0,0,0,0,0,2014-07-21
0,0,0,0,0,2014-07-22
72,115,30,98,65,2014-07-23
0,0,0,0,0,2014-07-24
0,0,0,0,0,2014-07-25
4,0,0,0,0,2014-07-26
146,68,43,91,113,2014-07-27
126,112,120,76,156,2014-07-28
2,0,0,0,0,2014-07-29
12,0,20,5,0,2014-07-30
144,150,359,123,117,2014-07-31
0,0,0,0,0,2014-08-01
0,0,0,0,0,2014-08-02
0,0,0,0,0,2014-08-03
6,0,0,0,2,2014-08-04
14,0,270,0,0,2014-08-05
4,0,0,11,5,2014-08-06
10,17,0,53,2,2014-08-07
0,0,10,2,0,2014-08-08
0,0,0,0,0,2014-08-09
0,0,0,0,0,2014-08-10
0,0,0,2,0,2014-08-11
12,5,0,0,0,2014-08-12
396,177,290,284,255,2014-08-13
0,0,0,0,0,2014-08-14
48,10,120,41,2,2014-08-15
180,134,132,118,75,2014-08-16
12,2,20,0,12,2014-08-17
0,0,0,0,0,2014-08-18
0,0,0,2,0,2014-08-19
0,0,0,0,0,2014-08-20
0,12,0,0,0,2014-08-21
0,0,11,0,0,2014-08-22
0,0,20,0,0,2014-08-23
0,0,0,0,0,2014-08-24
0,0,0,0,0,2014-08-25
0,0,0,0,0,2014-08-26
2,3,0,0,2,2014-08-27
0,0,0,0,0,2014-08-28
0,0,0,0,0,2014-08-29
0,0,0,0,0,2014-08-30
96,114,130,92,70,2014-08-31
0,2,0,0,0,2014-09-01
46,56,70,33,6,2014-09-02
2,0,10,0,0,2014-09-03
0,0,0,0,0,2014-09-04
36,114,40,20,23,2014-09-05
62,39,40,19,42,2014-09-06
0,2,0,0,0,2014-09-07
0,0,0,0,0,2014-09-08
0,0,0,0,0,2014-09-09
0,0,0,0,0,2014-09-10
66,53,90,53,41,2014-09-11
0,0,0,0,0,2014-09-12
176,189,140,180,124,2014-09-13
0,0,0,0,0,2014-09-14
0,0,0,0,0,2014-09-15
6,4,0,0,7,2014-09-16
4,7,30,0,0,2014-09-17
10,38,0,15,4,2014-09-18
0,0,0,0,0,2014-09-19
0,0,10,0,0,2014-09-20
14,39,20,27,7,2014-09-21
0,0,0,0,0,2014-09-22
8,7,0,9,2,2014-09-23
0,0,20,0,0,2014-09-24
0,0,0,0,0,2014-09-25
0,0,0,0,0,2014-09-26
0,0,0,0,0,2014-09-27
0,0,0,0,0,2014-09-28
0,0,0,0,0,2014-09-29
0,0,0,0,0,2014-09-30
0,0,0,0,0,2014-10-01
0,0,0,0,0,2014-10-02
0,0,0,0,0,2014-10-03
172,158,120,171,117,2014-10-04
4,0,0,0,2,2014-10-05
0,0,0,0,0,2014-10-06
34,79,60,22,32,2014-10-07
280,152,200,154,248,2014-10-08
8,0,10,3,10,2014-10-09
0,0,0,2,0,2014-10-10
0,0,0,0,0,2014-10-11
0,0,0,0,0,2014-10-12
0,0,0,0,0,2014-10-13
0,0,10,0,0,2014-10-14
22,19,50,35,15,2014-10-15
50,84,70,40,28,2014-10-16
2,0,0,0,0,2014-10-17
14,8,20,12,30,2014-10-18
0,0,0,0,0,2014-10-19
4,0,0,4,2,2014-10-20
20,11,0,11,11,2014-10-21
0,0,0,0,0,2014-10-22
76,50,40,51,68,2014-10-23
6,4,0,9,6,2014-10-24
50,27,60,31,46,2014-10-25
2,0,0,6,0,2014-10-26
0,0,0,0,0,2014-10-27
22,15,30,28,12,2014-10-28
12,9,10,11,12,2014-10-29
0,0,0,0,0,2014-10-30
0,0,0,0,0,2014-10-31
0,0,0,0,0,2015-05-01
0,0,0,2,0,2015-05-02
0,0,0,2,0,2015-05-03
18,12,0,7,7,2015-05-04
2,0,0,2,0,2015-05-05
0,0,10,0,0,2015-05-06
0,0,0,0,0,2015-05-07
0,0,0,0,0,2015-05-08
50,22,80,84,40,2015-05-09
2,0,0,0,0,2015-05-10
208,131,100,187,197,2015-05-11
54,23,30,54,20,2015-05-12
2,0,0,0,0,2015-05-13
0,0,0,2,0,2015-05-14
0,0,0,0,0,2015-05-15
0,0,0,0,2,2015-05-16
0,0,0,4,0,2015-05-17
318,0,290,90,159,2015-05-18
0,0,30,0,25,2015-05-19
0,0,0,0,0,2015-05-20
0,0,0,0,0,2015-05-21
2,0,10,2,4,2015-05-22
0,0,10,0,0,2015-05-23
0,0,0,2,0,2015-05-24
200,206,170,185,160,2015-05-25
52,64,10,47,48,2015-05-26
0,9,0,0,5,2015-05-27
82,75,0,47,28,2015-05-28
0,2,0,2,2,2015-05-29
36,22,220,23,22,2015-05-30
22,40,10,30,14,2015-05-31
24,19,0,18,22,2015-06-01
48,41,12,13,13,2015-06-02
0,2,0,0,0,2015-06-03
0,0,0,0,0,2015-06-04
98,98,40,40,122,2015-06-05
2,0,0,0,0,2015-06-06
0,0,0,0,0,2015-06-07
248,244,230,215,205,2015-06-08
122,48,10,77,195,2015-06-09
30,39,320,24,20,2015-06-10
2,0,0,0,0,2015-06-11
102,131,30,106,84,2015-06-12
2,2,0,0,2,2015-06-13
0,0,0,0,0,2015-06-14
2,0,0,0,5,2015-06-15
296,165,170,230,209,2015-06-16
2,0,0,0,0,2015-06-17
40,57,20,36,20,2015-06-18
0,0,0,0,0,2015-06-19
0,0,0,0,0,2015-06-20
14,165,0,194,10,2015-06-21
12,0,0,66,0,2015-06-22
48,25,51,10,6,2015-06-23
6,0,0,29,2,2015-06-24
2,2,0,2,0,2015-06-25
0,0,40,0,0,2015-06-26
0,0,0,0,0,2015-06-27
102,67,170,63,79,2015-06-28
12,3,0,0,10,2015-06-29
22,36,45,25,14,2015-06-30
178,55,170,57,253,2015-07-01
0,0,0,0,0,2015-07-02
0,0,0,0,0,2015-07-03
0,0,0,0,0,2015-07-04
0,0,0,0,0,2015-07-05
0,0,0,0,0,2015-07-06
48,74,20,2,20,2015-07-07
32,13,20,15,82,2015-07-08
0,0,0,0,0,2015-07-09
